#{"t_start": 1590306697.5550497, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-504.594654,106,3.45338
-580.431009,185,5.341999
-56.184736,86,5.984911
-492.665433,157,7.286681
-156.115655,73,7.902959
-571.609482,70,8.011894
-187.887028,57,8.658589
-377.92098,56,8.721406
-452.143329,72,9.274284
-624.524927,78,9.891162
-127.862491,83,10.562918
-296.243402,64,10.661498
-99.149885,52,11.258582
-91.435467,56,11.332181
-224.166008,51,11.930068
-413.829377,62,12.540884
-377.583933,53,12.623519
-125.200194,58,13.348716
-390.493859,62,13.438496
-425.126626,77,14.090402
-519.015474,75,14.75436
-495.904414,65,14.830413
-529.163066,85,15.488663
-370.663103,56,16.054117
-187.676106,83,16.688266
-394.844064,68,16.790226
-336.818496,72,17.428975
-307.172231,53,18.037394
-254.267256,55,18.121424
1.049879,95,18.790509
-355.769744,67,19.395661
-154.326818,88,20.045642
-259.033003,50,20.133918
-269.379139,76,20.738247
-194.973732,74,21.334356
-181.949439,52,21.376644
-196.514338,57,21.955662
-698.502852,80,22.666873
-132.429837,101,23.341665
-451.729084,86,23.439495
-189.711304,106,24.765566
-234.368897,97,24.911025
-256.343615,187,26.240844
-57.903567,156,27.481853
-172.69942,196,28.89426
-207.289972,295,31.183491
-540.148217,135,32.089376
-458.053806,187,33.490489
-622.810059,90,34.149706
-771.242126,233,35.551367
-149.365008,93,36.153297
-210.486807,116,36.852721
-196.190648,156,38.110715
-640.899651,191,39.369262
-106.631009,150,40.218652
-354.345184,106,40.854876
-943.385149,342,43.98552
-352.909562,113,44.650811
-55.229166,61,45.23771
-194.136556,136,45.951515
-557.44035,266,48.193061
-131.837008,70,48.330197
-522.065784,249,50.599285
-110.946067,64,50.659563
-39.087717,1000,61.008035
-14.209298,180,62.327118
-158.982785,125,62.915412
-70.731711,109,64.093511
-516.935516,357,66.661658
-59.268313,107,67.346226
-269.563312,396,70.281272
-301.335327,403,73.377333
-52.578929,108,74.047931
175.310145,447,78.516636
128.815255,764,85.250563
54.793302,157,86.394409
167.007213,506,89.733456
-53.064497,264,91.638511
-6.000371,1000,100.873994
-29.205412,365,102.712925
-175.516471,172,103.720558
-34.192278,1000,110.565188
-105.65407,225,111.851313
213.9782,452,114.889223
-24.818637,307,116.667731
-67.919853,343,118.574133
94.681803,665,122.943121
-91.674643,236,124.074754
266.411574,335,126.258945
-137.690245,985,133.825736
-199.618379,707,138.483818
50.48513,1000,145.764343
-276.664549,500,148.661205
20.539023,302,150.355263
129.990987,762,155.07897
-32.954897,384,157.272614
-3.960542,279,158.936707
-50.959924,334,160.593077
-32.198292,1000,168.613917
204.841498,407,170.879059
186.924161,778,175.84187
186.067608,709,180.04056
-250.816168,788,185.155912
-72.886756,307,186.74754
291.619461,387,189.119622
-37.486803,170,190.133811
199.896765,763,195.364186
-80.886182,289,196.979453
145.929833,951,203.458656
-41.562257,293,205.097169
214.370639,375,206.917559
-114.798976,276,208.522691
110.044738,640,212.492156
-314.504275,532,216.422854
-8.282221,1000,224.977412
-171.326657,439,227.272457
-105.862339,1000,233.669247
149.254621,499,236.735537
-75.964042,1000,243.346897
-46.63308,1000,250.308609
-42.828462,1000,257.84379
-42.997824,1000,265.190103
-64.463039,1000,272.181088
-108.946482,1000,278.511436
-137.576386,1000,286.268681
-52.879642,1000,295.273042
-187.973856,381,297.601974
-85.51726,1000,304.732039
-77.828826,1000,311.188235
-34.957358,1000,319.178261
-56.901527,1000,326.665756
-51.56098,1000,334.059491
-72.645281,1000,340.942519
-220.333778,1000,348.220428
-214.63422,745,353.515341
180.520248,618,358.307434
2.618887,1000,365.782636
-42.176969,1000,372.860228
-121.313249,1000,379.570727
-72.356243,184,380.257776
-89.633721,1000,387.52884
-71.94879,1000,393.79048
-218.866723,122,394.817144
-47.768237,1000,402.992774
-13.634809,223,404.147101
120.237675,771,409.911957
-151.023675,352,411.736468
80.24874,979,418.952799
-131.999626,191,420.019029
-194.960724,147,420.604219
-111.511531,259,422.232589
168.394079,653,426.483238
-115.972452,466,429.487699
-103.622102,1000,436.104152
-16.118016,218,437.176206
10.561234,224,438.713812
-2.975278,313,440.432268
-24.440611,274,441.648829
121.953511,697,446.101813
-205.71741,750,451.200775
-13.595879,1000,458.002996
-102.234472,164,459.029083
-106.422566,246,460.190642
-127.780883,209,461.262916
-109.09873,283,463.177862
-127.651616,265,465.028539
-135.37373,91,465.196395
-156.06397,105,465.796698
-158.431998,176,467.033926
-110.005737,1000,474.371088
-46.006639,121,474.945468
-54.526901,105,475.878536
-185.875136,242,477.076225
-165.814465,425,479.758849
-170.144173,255,481.336217
-146.134653,206,482.438163
-65.726838,1000,488.74532
-48.465403,116,489.304334
-169.089296,279,490.975431
-171.070348,374,492.811065
-190.749443,256,494.502749
-155.356714,207,495.807871
-179.892634,211,497.231348
-172.487159,242,499.099062
139.694642,408,501.723579
187.755309,221,502.992821
-39.72363,110,503.575503
-244.122141,211,504.692346
24.779552,129,505.314595
-279.07247,217,506.918081
-182.205901,181,507.553895
-263.283605,391,509.901474
-254.753463,425,512.84976
212.859186,530,516.291359
-246.0382,360,518.134284
220.436095,400,520.497681
-256.257847,363,522.78297
252.319938,226,523.913253
141.467433,670,528.536949
-293.936034,515,531.921359
-247.15157,307,533.721689
-121.605829,1000,540.539598
-38.281364,1000,546.945129
-331.283569,155,548.049964
133.701448,540,551.52363
-48.218969,1000,558.638611
-28.938878,738,563.841281
-20.736619,1000,570.161137
-102.470646,1000,576.954699
266.150596,326,578.759387
-9.08207,1000,586.020301
16.348247,223,587.2134
-74.159932,1000,594.203147
-103.538268,409,596.811824
-45.45887,204,598.059147
38.753359,198,599.22118
-226.779202,953,606.139679
-92.74222,432,608.485516
159.489689,357,610.961452
-70.463432,1000,617.348654
-136.927509,344,619.155835
-8.385891,1000,624.862252
225.206632,474,627.507389
281.469768,368,629.278409
190.455249,359,631.598355
186.726562,659,635.881691
-20.887513,166,636.550528
271.528282,730,641.285279
192.91938,325,642.986652
-71.505427,1000,649.351061
-61.243475,1000,655.398551
16.351018,1000,661.792977
99.235641,731,665.973976
-269.085547,197,666.989474
-91.904747,562,670.655809
98.340477,957,678.138667
